SessionID,ConceptA,ConceptB,xConceptA,yConceptB,xConceptB,yConceptB,Distance,NearestDistance,QstNr,QstDuration,ConceptClicksPerTest,RelativeDistance,NearestRelativeDistance
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Schule,454.0,310.0,437.0,196.0,115.26057435220423,34.0,9.0,20052.0,15.0,0.23353881639927573,0.08740359897172237
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Schule,495.0,459.0,437.0,196.0,269.31951284673005,183.0,9.0,20052.0,15.0,0.5456901513544474,0.4704370179948586
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Schule,926.0,243.0,437.0,196.0,491.25349871527635,389.0,9.0,20052.0,15.0,0.9953686356914699,1.0
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Photosynthese,495.0,459.0,454.0,310.0,154.53802121160993,69.0,9.0,20052.0,15.0,0.31312204338113603,0.17737789203084833
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Photosynthese,926.0,243.0,454.0,310.0,476.7315806614871,372.0,9.0,20052.0,15.0,0.9659445973922511,0.9562982005141388
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Ast,926.0,243.0,495.0,459.0,482.0964633763662,357.8505274552491,9.0,20052.0,15.0,0.976814822240561,0.9199242351034681
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Fahrrad,920.0,173.0,288.0,178.0,632.019778171538,532.0,10.0,17066.0,11.0,0.9728805516461972,0.9950811223936882
2350fd2e-2be4-4270-a39c-c6c24dec620b,Infrastruktur,Fahrrad,293.0,343.0,288.0,178.0,165.07574019219177,85.0,10.0,17066.0,11.0,0.2541043535792567,0.15898852519448026
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Fahrrad,589.0,159.0,288.0,178.0,301.5990716166083,201.0,10.0,17066.0,11.0,0.4642574193156168,0.37596110075400624
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Fahrrad,922.0,259.0,288.0,178.0,639.153346232342,534.0009363287671,10.0,17066.0,11.0,0.9838613941291315,0.9988237802280263
2350fd2e-2be4-4270-a39c-c6c24dec620b,Infrastruktur,Laub,293.0,343.0,920.0,173.0,649.6375912768596,534.6297784448599,10.0,17066.0,11.0,1.0,1.0
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Laub,589.0,159.0,920.0,173.0,331.2959402105616,231.0,10.0,17066.0,11.0,0.5099703968167867,0.43207469788146985
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Laub,922.0,259.0,920.0,173.0,86.02325267042627,6.0,10.0,17066.0,11.0,0.13241729515890235,0.011222719425492723
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Infrastruktur,589.0,159.0,293.0,343.0,348.52833457267144,221.8828519737386,10.0,17066.0,11.0,0.536496562472071,0.4150214988382338
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Infrastruktur,922.0,259.0,293.0,343.0,634.5841157797759,529.0151226571883,10.0,17066.0,11.0,0.9768278872725081,0.9894980489040405
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Physik,922.0,259.0,589.0,159.0,347.6909547284772,233.8567937862828,10.0,17066.0,11.0,0.5352075671069039,0.437418197068127
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Photosynthese,Fahrrad,841.0,99.0,213.0,67.0,628.8147580965319,528.0,0.0,30301.0,7.0,0.7559436943860381,0.7445509122838185
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Physik,Fahrrad,977.0,396.0,213.0,67.0,831.8275061573763,709.1523108613551,0.0,30301.0,7.0,1.0,1.0
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Ast,Fahrrad,272.0,586.0,213.0,67.0,522.3427993186084,438.99999999999994,0.0,30301.0,7.0,0.6279460530604101,0.6190489592662809
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Schule,Fahrrad,528.0,158.0,213.0,67.0,327.88107600165034,215.2812114421507,0.0,30301.0,7.0,0.39416955267119697,0.3035754211682177
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Physik,Photosynthese,977.0,396.0,841.0,99.0,326.6573127912492,219.9659064491586,0.0,30301.0,7.0,0.39269837841770977,0.3101814702993525
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Ast,Photosynthese,272.0,586.0,841.0,99.0,748.9526019715801,620.9750397560275,0.0,30301.0,7.0,0.9003700844558068,0.8756582052193764
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Schule,Photosynthese,528.0,158.0,841.0,99.0,318.5121661726597,213.0,0.0,30301.0,7.0,0.38290650863906306,0.3003586066599495
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Ast,Physik,272.0,586.0,977.0,396.0,730.1540933255117,614.9186938124421,0.0,30301.0,7.0,0.8777710377701448,0.8671179440500528
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Schule,Physik,528.0,158.0,977.0,396.0,508.17811837976654,383.09920386239384,0.0,30301.0,7.0,0.610917665763775,0.5402213290358899
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Schule,Ast,528.0,158.0,272.0,586.0,498.7183573922259,381.3659659696969,0.0,30301.0,7.0,0.599545402983911,0.5377772308271543
